seed_index,base_seed,task_seed,policy,task,checkpoint,config,episodes,fall_rate,avg_distance,max_distance,avg_forward_velocity,avg_return,weak_success_rate,strict_success_rate,eval_score
4,52345,252345,residual_gated_imu_clean,random_slope_shift_hard_heldout,/home/jkouil/robot_project/artifacts/student_residual_gated_imu_clean_bc/best_by_val_loss.pt,/home/jkouil/robot_project/configs/student_residual_gated_imu_clean.yaml,50,0.48,2.7841036693401704,4.314098741500718,0.13471180347934525,814.4294838042329,0.0,0.0,0.3407948165329915
4,52345,152345,residual_bilinear_imu_clean,random_slope_shift,/home/jkouil/robot_project/artifacts/student_residual_bilinear_imu_clean_bc/best_by_eval.pt,/home/jkouil/robot_project/configs/student_residual_bilinear_imu_clean.yaml,50,0.24,2.9863124006188313,4.20551775910963,0.1364080518134834,885.781544329215,0.0,0.0,0.09068437996905843
4,52345,252345,residual_bilinear_imu_clean,random_slope_shift_hard_heldout,/home/jkouil/robot_project/artifacts/student_residual_bilinear_imu_clean_bc/best_by_eval.pt,/home/jkouil/robot_project/configs/student_residual_bilinear_imu_clean.yaml,50,0.3,2.906773493053448,4.33128288542301,0.13733476108579004,867.1620612144682,0.0,0.0,0.15466132534732757
5,62345,162345,teacher,random_slope_shift,/home/jkouil/robot_project/artifacts/teacher_walk_preview_gru_random_slopes_shifted_no_corridor_iterative_finetune/v11/best_teacher.zip,/home/jkouil/robot_project/configs/teacher_walk_preview_gru_random_slopes_shifted_no_corridor.yaml,50,0.08,3.437556679964499,4.266643711183667,0.14624410032250082,1071.0728365316374,0.0,0.0,-0.09187783399822498
5,62345,262345,teacher,random_slope_shift_hard_heldout,/home/jkouil/robot_project/artifacts/teacher_walk_preview_gru_random_slopes_shifted_no_corridor_iterative_finetune/v11/best_teacher.zip,/home/jkouil/robot_project/configs/teacher_walk_preview_gru_random_slopes_shifted_hard_heldout.yaml,50,0.26,2.975954399403195,4.301933414772738,0.13583821667740015,885.5918332381198,0.0,0.0,0.11120228002984026
5,62345,162345,paper_like_finetune,random_slope_shift,/home/jkouil/robot_project/artifacts/student_paper_like_finetune_same_budget/best_by_eval.pt,/home/jkouil/robot_project/configs/student_paper_like_finetune_same_budget.yaml,50,0.14,3.3720564781015616,4.263553327809932,0.14555900937361688,1059.3676242717142,0.0,0.0,-0.028602823905078067
5,62345,262345,paper_like_finetune,random_slope_shift_hard_heldout,/home/jkouil/robot_project/artifacts/student_paper_like_finetune_same_budget/best_by_eval.pt,/home/jkouil/robot_project/configs/student_paper_like_finetune_same_budget.yaml,50,0.54,2.7622376577252727,4.340321843828644,0.13766136849202648,801.1304962512903,0.0,0.0,0.4018881171137364
5,62345,162345,residual_gated_imu_clean,random_slope_shift,/home/jkouil/robot_project/artifacts/student_residual_gated_imu_clean_bc/best_by_val_loss.pt,/home/jkouil/robot_project/configs/student_residual_gated_imu_clean.yaml,50,0.1,3.3907025620577134,4.283462972187699,0.14523778393156495,1071.2728984471937,0.0,0.0,-0.06953512810288567
5,62345,262345,residual_gated_imu_clean,random_slope_shift_hard_heldout,/home/jkouil/robot_project/artifacts/student_residual_gated_imu_clean_bc/best_by_val_loss.pt,/home/jkouil/robot_project/configs/student_residual_gated_imu_clean.yaml,50,0.46,2.7867562035804423,4.1944204971172105,0.13648138046008398,816.81047887089,0.0,0.0,0.32066218982097794
5,62345,162345,residual_bilinear_imu_clean,random_slope_shift,/home/jkouil/robot_project/artifacts/student_residual_bilinear_imu_clean_bc/best_by_eval.pt,/home/jkouil/robot_project/configs/student_residual_bilinear_imu_clean.yaml,50,0.22,3.177774658362072,4.281271837493841,0.14332827198933062,983.1235472281867,0.0,0.0,0.0611112670818964
5,62345,262345,residual_bilinear_imu_clean,random_slope_shift_hard_heldout,/home/jkouil/robot_project/artifacts/student_residual_bilinear_imu_clean_bc/best_by_eval.pt,/home/jkouil/robot_project/configs/student_residual_bilinear_imu_clean.yaml,50,0.48,2.747746289710572,4.3423817405102225,0.13615565908986693,784.1677071994089,0.0,0.0,0.3426126855144713
